model_name,arm,probability_decile,rows,observed_rate,predicted_rate,minimum_prediction,maximum_prediction
s_learner,0,1,41880,0.0004059216809933142,0.0004315862606745213,0.00031634944025427103,0.0004716161056421697
s_learner,0,2,41881,0.0003581576371146821,0.000493568426463753,0.0004716161056421697,0.0005251713446341455
s_learner,0,3,41881,0.0008357011532675915,0.0005865105194970965,0.0005251713446341455,0.0006638639024458826
s_learner,0,4,41881,0.000811823977459946,0.0008360992069356143,0.0006639073835685849,0.0010553777683526278
s_learner,0,5,41881,0.0019101740646116378,0.0015258061466738582,0.0010553777683526278,0.0024710316210985184
s_learner,0,6,41881,0.003486067667916239,0.0035533409100025892,0.0024710791185498238,0.004373150411993265
s_learner,0,7,41881,0.005205224326066713,0.006154418457299471,0.004373150411993265,0.008825664408504963
s_learner,0,8,41881,0.013586113034550273,0.01453461591154337,0.00882600899785757,0.022374415770173073
s_learner,0,9,41881,0.047157422220099804,0.047997698187828064,0.022375881671905518,0.09818559139966965
s_learner,0,10,41881,0.30820658532508777,0.30858704447746277,0.09819278120994568,0.8949079513549805
s_learner,1,1,237581,0.0004251181702240499,0.0004922465304844081,0.0003338143287692219,0.0005500887054949999
s_learner,1,2,237582,0.0006355700347669436,0.0005857324576936662,0.0005500887054949999,0.0006249130237847567
s_learner,1,3,237582,0.0008207692501957219,0.0007228149916045368,0.0006249130237847567,0.0008491757907904685
s_learner,1,4,237582,0.001043850123325841,0.0011352419387549162,0.0008491757907904685,0.0014572665095329285
s_learner,1,5,237582,0.0023318264851714355,0.002250187797471881,0.0014572665095329285,0.0034668503794819117
s_learner,1,6,237582,0.004310090831797022,0.0044075194746255875,0.0034668503794819117,0.005536320153623819
s_learner,1,7,237582,0.007938311824969905,0.008001371286809444,0.005536320153623819,0.01193785760551691
s_learner,1,8,237582,0.01903763753146282,0.01981799304485321,0.01193785760551691,0.031759873032569885
s_learner,1,9,237582,0.07179415949019707,0.07134801149368286,0.031759873032569885,0.14402011036872864
s_learner,1,10,237583,0.376281131225719,0.3783878982067108,0.14402207732200623,0.9112430214881897
t_learner,0,1,41880,0.0003342884431709647,0.000396258314140141,0.00033248955151066184,0.00042822735849767923
t_learner,0,2,41881,0.00045366634034526394,0.00045758450869470835,0.00042822735849767923,0.00048304241499863565
t_learner,0,3,41881,0.0007879468016523005,0.000554413185454905,0.00048304241499863565,0.0006347562302835286
t_learner,0,4,41881,0.0007879468016523005,0.0007646275917068124,0.0006347562302835286,0.0009713635081425309
t_learner,0,5,41881,0.0019818055920345743,0.0014661106979474425,0.0009713635081425309,0.0024811464827507734
t_learner,0,6,41881,0.0034144361404933026,0.003663952462375164,0.0024811464827507734,0.004478249698877335
t_learner,0,7,41881,0.005515627611566104,0.00619100034236908,0.004478249698877335,0.008909203112125397
t_learner,0,8,41881,0.013371218452281465,0.014325856231153011,0.008909203112125397,0.022557705640792847
t_learner,0,9,41881,0.04730068527494568,0.047425951808691025,0.022557705640792847,0.09832272678613663
t_learner,0,10,41881,0.3080155679186266,0.3091889023780823,0.0983247458934784,0.8536912798881531
t_learner,1,1,237581,0.0004966727137271078,0.0004976319032721221,0.00035604569711722434,0.0005627423524856567
t_learner,1,2,237582,0.000589270230909749,0.0005942830466665328,0.0005627423524856567,0.0006381955463439226
t_learner,1,3,237582,0.0007955148117281612,0.0007370965904556215,0.0006381955463439226,0.0008766424143686891
t_learner,1,4,237582,0.001043850123325841,0.0011462920811027288,0.0008766424143686891,0.001459426712244749
t_learner,1,5,237582,0.0023276174120935088,0.002252024132758379,0.001459426712244749,0.0035062094684690237
t_learner,1,6,237582,0.0043521815625762895,0.004390483722090721,0.0035062094684690237,0.005528618115931749
t_learner,1,7,237582,0.00795935719035954,0.00800518412142992,0.005528658628463745,0.012120835483074188
t_learner,1,8,237582,0.018923992558358797,0.019851187244057655,0.012120835483074188,0.03209381923079491
t_learner,1,9,237582,0.07180257763635292,0.07133987545967102,0.032094020396471024,0.14424251019954681
t_learner,1,10,237583,0.3763274308346978,0.3782689869403839,0.144244983792305,0.9061545729637146
