feature,bins,validation_top_minus_bottom_ate,validation_top_group_ate,validation_bottom_group_ate,score_standard_deviation
f6,7,0.03990600521425366,0.03805866494420719,-0.0018473402700464672,0.011693987995386124
f0,8,0.026228466002075908,0.02661157281717441,0.00038310681509850543,0.007610272150486708
f2,5,0.016670356530189417,0.019858804343426226,0.0031884478132368083,0.004544846713542938
f3,2,,0.03693205168096734,,0.012358256615698338
f8,5,,0.03303081362903035,,0.011010506190359592
f9,3,,0.04005340318024708,,0.011143401265144348
