model_name,arm,log_loss,brier_score,roc_auc,pr_auc,score_mean,score_standard_deviation,score_minimum,score_maximum
s_learner,0,0.00772427162155509,0.0016030052211135626,0.9652806757950462,0.20980942179078468,,,,
s_learner,1,0.012096683494746685,0.002578275976702571,0.9603810677423614,0.2599376645855777,,,,
t_learner,0,0.007836946286261082,0.0016302572330459952,0.9629883936929353,0.17926523643359535,,,,
t_learner,1,0.012109745293855667,0.0025806687772274017,0.9605443875812187,0.25927657854125075,,,,
s_learner,uplift_score,,,,,0.0008512099157087505,0.005716212559491396,-0.006035961210727692,0.1527671217918396
t_learner,uplift_score,,,,,0.0010101583320647478,0.007620356511324644,-0.08956679701805115,0.3189232647418976
x_learner,uplift_score,,,,,0.0010035590967163444,0.0037006561178714037,-0.006472492124885321,0.02960025519132614
