outcome,learner,reference_seed,comparison_seed,spearman_rank_correlation,top_decile_overlap,reference_mean_uplift,comparison_mean_uplift,comparison_runtime_seconds
visit,s_learner,20260816,20260817,0.9784148879398433,0.9400097329869535,0.00727120554074645,0.007251453120261431,704.2142671660113
visit,t_learner,20260816,20260817,0.8539162718565165,0.8848788028426047,0.007377719506621361,0.007373990956693888,704.2142671660113
visit,x_learner,20260816,20260817,0.9627637702560632,0.9676449749876549,0.007247783709317446,0.007240935694426298,704.2142671660113
visit,s_learner,20260816,20260818,0.9832498814714419,0.9476923517329726,0.00727120554074645,0.0072594135999679565,629.9019031250209
visit,t_learner,20260816,20260818,0.8527619282411237,0.8804989587135281,0.007377719506621361,0.007371984887868166,629.9019031250209
visit,x_learner,20260816,20260818,0.9621892754977504,0.9685288160823297,0.007247783709317446,0.0072481813840568066,629.9019031250209
