model_name,arm,log_loss,brier_score,roc_auc,pr_auc,score_mean,score_standard_deviation,score_minimum,score_maximum
s_learner,0,0.09498154371976852,0.026725223287940025,0.9404655819121408,0.476986298908599,,,,
s_learner,1,0.10561738908290863,0.030159534886479378,0.9417093070466476,0.5121604441093345,,,,
t_learner,0,0.0961332842707634,0.027081241831183434,0.9394335239856525,0.4557827002055715,,,,
t_learner,1,0.10571902245283127,0.03017149306833744,0.9415602428390019,0.5110334136641468,,,,
s_learner,uplift_score,,,,,0.00485098036006093,0.013439629226922989,-0.021493077278137207,0.10518386960029602
t_learner,uplift_score,,,,,0.005794915370643139,0.029918286949396133,-0.2809238135814667,0.30766141414642334
x_learner,uplift_score,,,,,0.005758688785135746,0.016677983105182648,-0.027874993160367012,0.09948396682739258
