outcome,learner,reference_seed,comparison_seed,spearman_rank_correlation,top_decile_overlap,reference_mean_uplift,comparison_mean_uplift,comparison_runtime_seconds
conversion,s_learner,20260816,20260817,0.9510277571471235,0.9545483822487494,0.0009262067615054548,0.00096460385248065,689.777614333987
conversion,t_learner,20260816,20260817,0.8758053931291793,0.8954992091948101,0.0009905655169859529,0.0009923805482685566,689.777614333987
conversion,x_learner,20260816,20260817,0.9232492672979756,0.978705512735184,0.0009762312402017415,0.0009744774433784187,689.777614333987
conversion,s_learner,20260816,20260818,0.9657363155131269,0.9659703287030079,0.0009262067615054548,0.0009449089411646128,583.4392290420074
conversion,t_learner,20260816,20260818,0.7077739171255684,0.8710808625144026,0.0009905655169859529,0.0009855059906840324,583.4392290420074
conversion,x_learner,20260816,20260818,0.9011363148486753,0.9791921620828592,0.0009762312402017415,0.0009731012978591025,583.4392290420074
