feature,bins,validation_top_minus_bottom_ate,validation_top_group_ate,validation_bottom_group_ate,score_standard_deviation
f6,7,0.003303293768433311,0.003976620450736585,0.0006733266823032743,0.0012062512105330825
f0,8,0.0026629193728250934,0.002730303071378951,6.738369855385752e-05,0.0008687602239660919
f2,5,0.0014510393490661045,0.0015791320531135123,0.0001280927040474079,0.00044648590846918523
f3,2,,0.004049416772401334,,0.0012966211652383208
f8,5,,0.004737098335418365,,0.001687484560534358
f9,3,,0.004974587139460196,,0.001722220447845757
