model_name,arm,log_loss,brier_score,roc_auc,pr_auc,score_mean,score_standard_deviation,score_minimum,score_maximum
s_learner,0,0.08910848945379257,0.02532821334898472,0.947747553179612,0.4818181269645302,,,,
s_learner,1,0.10514672845602036,0.030464133247733116,0.9464806106411436,0.5248104000290605,,,,
t_learner,0,0.0893465131521225,0.025396836921572685,0.9474395618449732,0.47876887161144094,,,,
t_learner,1,0.10514771938323975,0.030462877824902534,0.9464602062555247,0.5247823334374351,,,,
s_learner,uplift_score,,,,,0.00727120554074645,0.022770190611481667,-0.031102478504180908,0.28183111548423767
t_learner,uplift_score,,,,,0.007377719506621361,0.025836264714598656,-0.20820766687393188,0.40899914503097534
x_learner,uplift_score,,,,,0.007379156071692705,0.023465801030397415,-0.0547863133251667,0.33401307463645935
