outcome_name,model_name,metric,estimate,ci_lower,ci_upper,bootstrap_replicates
conversion,constant_ate,auuc,1674.819677164145,1431.6415269455897,1912.3425937943953,2000
conversion,constant_ate,auuc_minus_response,-1306.7241777045151,-1535.996214919814,-1063.169053378794,2000
conversion,constant_ate,gain_at_10pct,351.02522723702424,221.08672574842936,478.72023013855807,2000
conversion,constant_ate,gain_at_10pct_minus_response,-2088.003248883497,-2491.1912695100036,-1681.0877434747833,2000
conversion,constant_ate,gain_at_20pct,666.9491036190271,481.2896525311419,853.9089104964933,2000
conversion,constant_ate,gain_at_20pct_minus_response,-2154.6947458568384,-2521.8392106128545,-1755.08448710014,2000
conversion,constant_ate,gain_at_30pct,962.161682188416,723.6078017326555,1200.0827629080036,2000
conversion,constant_ate,gain_at_30pct_minus_response,-2061.259548691793,-2407.928933813125,-1692.6786695853896,2000
conversion,constant_ate,gain_at_5pct,223.53030663180417,141.3867963705579,305.5116747473525,2000
conversion,constant_ate,gain_at_5pct_minus_response,-1747.9862050399934,-2144.886484428534,-1333.1736956712111,2000
conversion,constant_ate,qini,26.597739402684056,-93.33147690497765,154.07927047536256,2000
conversion,constant_ate,qini_minus_response,-1306.7241777045147,-1535.996214919814,-1063.169053378794,2000
conversion,response_propensity,auuc,2981.54385486866,2566.313534671636,3376.1645353600193,2000
conversion,response_propensity,gain_at_10pct,2439.028476120521,2006.031391779272,2850.2170881582542,2000
conversion,response_propensity,gain_at_20pct,2821.6438494758654,2386.0776882438868,3232.129520699368,2000
conversion,response_propensity,gain_at_30pct,3023.421230880209,2590.517410580921,3431.27453275754,2000
conversion,response_propensity,gain_at_5pct,1971.5165116717976,1562.74012252137,2365.8167464388825,2000
conversion,response_propensity,qini,1333.3219171071987,1127.141677005429,1524.1313667537802,2000
conversion,s_learner,auuc,2971.556633938153,2557.1464032778226,3366.688826398522,2000
conversion,s_learner,auuc_minus_response,-9.987220930507192,-18.784485046895703,-0.9920270749116215,2000
conversion,s_learner,gain_at_10pct,2350.47052980873,1921.4690976253644,2770.3211828915532,2000
conversion,s_learner,gain_at_10pct_minus_response,-88.55794631179106,-147.2041936773451,-31.16265044295581,2000
conversion,s_learner,gain_at_20pct,2807.1271216152613,2373.7830783806285,3215.3850846511614,2000
conversion,s_learner,gain_at_20pct_minus_response,-14.516727860604078,-56.40802616395009,28.052052990687727,2000
conversion,s_learner,gain_at_30pct,3027.762251855689,2592.1459772796634,3435.7535119893437,2000
conversion,s_learner,gain_at_30pct_minus_response,4.341020975480205,-16.305091164635723,26.737827019132023,2000
conversion,s_learner,gain_at_5pct,1857.451366347547,1433.9479720122536,2260.6277639607665,2000
conversion,s_learner,gain_at_5pct_minus_response,-114.06514532425058,-185.89518410021114,-36.79503960170458,2000
conversion,s_learner,qini,1323.3346961766915,1116.9800011243478,1514.0655545481989,2000
conversion,s_learner,qini_minus_response,-9.987220930507192,-18.784485046895703,-0.9920270749116215,2000
conversion,segment_uplift,auuc,2892.95127416392,2490.2729575823687,3264.29633864308,2000
conversion,segment_uplift,auuc_minus_response,-88.59258070474016,-127.24921743721549,-49.68124568408119,2000
conversion,segment_uplift,gain_at_10pct,2052.278083157313,1692.5279325097779,2395.8584730699336,2000
conversion,segment_uplift,gain_at_10pct_minus_response,-386.750392963208,-615.2215025148718,-144.46108507249508,2000
conversion,segment_uplift,gain_at_20pct,2851.318080473586,2428.004725329053,3243.946475376097,2000
conversion,segment_uplift,gain_at_20pct_minus_response,29.67423099772077,-82.76461684326831,156.9033842696897,2000
conversion,segment_uplift,gain_at_30pct,3010.315035170674,2572.2051991369353,3420.5086352538915,2000
conversion,segment_uplift,gain_at_30pct_minus_response,-13.106195709534859,-79.60432697341828,56.518609681017274,2000
conversion,segment_uplift,gain_at_5pct,947.7530790141408,688.4715445000085,1205.8116770438164,2000
conversion,segment_uplift,gain_at_5pct_minus_response,-1023.7634326576568,-1351.8020905283781,-698.7270871598081,2000
conversion,segment_uplift,qini,1244.729336402459,1058.0362225489519,1418.5373464961588,2000
conversion,segment_uplift,qini_minus_response,-88.5925807047397,-127.24921743721549,-49.68124568408119,2000
conversion,t_learner,auuc,2777.569960364583,2373.049259149767,3155.7760434329025,2000
conversion,t_learner,auuc_minus_response,-203.97389450407718,-315.39775627792756,-87.74057709962278,2000
conversion,t_learner,auuc_minus_s_learner,-193.98667357357,-304.28629934966557,-77.86199057908166,2000
conversion,t_learner,gain_at_10pct,2207.7080004898417,1789.6060989963362,2594.2035529327427,2000
conversion,t_learner,gain_at_10pct_minus_response,-231.32047563067954,-379.57261731206563,-81.55614213705552,2000
conversion,t_learner,gain_at_20pct,2664.208917396285,2244.4245949890374,3056.1616090852167,2000
conversion,t_learner,gain_at_20pct_minus_response,-157.43493207958045,-289.99755685279206,-25.336213835868232,2000
conversion,t_learner,gain_at_30pct,2854.345208344237,2442.494370623488,3248.155164162368,2000
conversion,t_learner,gain_at_30pct_minus_response,-169.0760225359718,-295.0336466761251,-41.19648875961678,2000
conversion,t_learner,gain_at_5pct,1714.437404536009,1306.9639280635167,2105.8513416019514,2000
conversion,t_learner,gain_at_5pct_minus_response,-257.0791071357887,-407.26016002256665,-101.836000763788,2000
conversion,t_learner,qini,1129.348022603122,927.8433025472815,1318.0118201288308,2000
conversion,t_learner,qini_minus_response,-203.97389450407672,-315.39775627792756,-87.74057709962278,2000
conversion,t_learner,qini_minus_s_learner,-193.98667357356953,-304.28629934966557,-77.86199057908166,2000
conversion,x_learner,auuc,2858.9286740759044,2443.2941532431014,3247.449305688307,2000
conversion,x_learner,auuc_minus_response,-122.61518079275584,-172.32996152496463,-67.19982167414864,2000
conversion,x_learner,auuc_minus_s_learner,-112.62795986224864,-161.30032304417108,-57.20145284697751,2000
conversion,x_learner,auuc_minus_t_learner,81.35871371132134,-35.41281954277791,197.8762753615794,2000
conversion,x_learner,gain_at_10pct,2283.690510061297,1867.0008795329547,2684.5721488502395,2000
conversion,x_learner,gain_at_10pct_minus_response,-155.33796605922407,-248.19115821832239,-54.93154165704024,2000
conversion,x_learner,gain_at_20pct,2649.666463513429,2219.31811294019,3062.2447376265895,2000
conversion,x_learner,gain_at_20pct_minus_response,-171.97738596243653,-262.6185974403085,-76.40733492074419,2000
conversion,x_learner,gain_at_30pct,2856.5549085811417,2422.449140753303,3254.950359760313,2000
conversion,x_learner,gain_at_30pct_minus_response,-166.86632229906718,-239.2890989323566,-94.18801733036655,2000
conversion,x_learner,gain_at_5pct,1851.7503229525132,1447.8469601269578,2239.9648551451946,2000
conversion,x_learner,gain_at_5pct_minus_response,-119.7661887192844,-216.93963527443873,-17.062031236290576,2000
conversion,x_learner,qini,1210.706736314443,1012.5282803453696,1405.2845954151576,2000
conversion,x_learner,qini_minus_response,-122.61518079275561,-172.32996152496463,-67.19982167414864,2000
conversion,x_learner,qini_minus_s_learner,-112.62795986224842,-161.30032304417108,-57.20145284697751,2000
conversion,x_learner,qini_minus_t_learner,81.35871371132112,-35.41281954277791,197.8762753615794,2000
