outcome_name,model_name,metric,estimate,ci_lower,ci_upper,bootstrap_replicates
visit,t_learner,gain_at_30pct_minus_response,590.4542384595734,-251.677785331532,1468.6383808907503,2000
visit,t_learner,gain_at_5pct,12481.562905429686,11479.163912539741,13535.369994035278,2000
visit,t_learner,gain_at_5pct_minus_response,4552.345560386074,3514.4427489994073,5591.204354518681,2000
visit,t_learner,qini,10112.690700074614,9367.38472694215,10862.166468241416,2000
visit,t_learner,qini_minus_response,206.81145715818275,-467.57302393165503,931.1628721864049,2000
visit,t_learner,qini_minus_s_learner,-437.72738793947065,-1027.7330043457223,170.500677838387,2000
visit,x_learner,auuc,25098.58582601026,23639.7317605485,26642.084213306865,2000
visit,x_learner,auuc_minus_response,746.0478240732482,337.8568846048014,1173.3007839098382,2000
visit,x_learner,auuc_minus_s_learner,101.5089789755948,-267.37562310064675,470.9551285284382,2000
visit,x_learner,auuc_minus_t_learner,539.2363669150654,-42.2710469217956,1155.5227819129464,2000
visit,x_learner,gain_at_10pct,17603.539111613893,16326.718714030621,18923.955833958993,2000
visit,x_learner,gain_at_10pct_minus_response,3489.832826367112,2496.900904806028,4481.819137789173,2000
visit,x_learner,gain_at_20pct,22162.557140229543,20684.68345443053,23742.658675335086,2000
visit,x_learner,gain_at_20pct_minus_response,520.1870787437911,-238.90890258487394,1296.0994719972289,2000
visit,x_learner,gain_at_30pct,24983.73691291336,23412.267291749555,26675.15299368167,2000
visit,x_learner,gain_at_30pct_minus_response,739.0696535490133,103.92674378942242,1426.0605406926938,2000
visit,x_learner,gain_at_5pct,13433.184845078888,12409.451048515637,14485.42855559484,2000
visit,x_learner,gain_at_5pct_minus_response,5503.967500035275,4459.59352821923,6585.597656354999,2000
visit,x_learner,qini,10651.92706698968,9961.113744884922,11375.428311360745,2000
visit,x_learner,qini_minus_response,746.0478240732482,337.8568846048014,1173.3007839098382,2000
visit,x_learner,qini_minus_s_learner,101.5089789755948,-267.37562310064675,470.9551285284382,2000
visit,x_learner,qini_minus_t_learner,539.2363669150654,-42.2710469217956,1155.5227819129464,2000
