outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain,gain_above_response,incremental_gain_ci_lower,incremental_gain_ci_upper,gain_above_response_ci_lower,gain_above_response_ci_upper,analysis_status
visit,s_learner,0.05,0.050000196727245545,139788.0,122614.0,17174.0,0.3685549774087788,0.2732036799813672,0.09535129742741161,13328.967164783015,0.08816064138995444,0.10254195346486877,1444.6658759020584,11884.301288880957,28893.317518041164,5399.7498197394025,,,,,exploratory_completion_requested_after_initial_test_review
visit,s_learner,0.1,0.1000000357685901,279575.0,242346.0,37229.0,0.2912282439157238,0.22713476053614118,0.0640934833795826,17918.935615846804,0.05946904895594797,0.06871791780321722,2889.3317518041167,15029.603864042687,28893.317518041164,3805.2293306000247,16656.539736762723,19419.880928738537,2867.561457434699,4855.370621543783,exploratory_completion_requested_after_initial_test_review
visit,s_learner,0.2,0.2000000715371802,559150.0,479604.0,79546.0,0.2069415601204327,0.1672239961783119,0.03971756394212078,22208.075878236836,0.03688212597337988,0.042553001910861685,5778.663503608233,16429.412374628602,28893.317518041164,565.7058167510841,20769.684582855207,24040.427803231694,-32.698448299267774,1107.0834901420567,exploratory_completion_requested_after_initial_test_review
visit,s_learner,0.3,0.3000001073057703,838725.0,716514.0,122211.0,0.1514638932386527,0.12193665054700477,0.02952724269164793,24765.23662655241,0.027513658216972423,0.031540827166323435,8667.995255412348,16097.241371140062,28893.317518041164,520.5693671880654,23315.2071914415,26510.166356002843,23.983084434124557,1020.1259437706067,exploratory_completion_requested_after_initial_test_review
visit,s_learner,0.4,0.4000001430743604,1118300.0,953612.0,164688.0,0.11687562656510195,0.09351622461867289,0.023359401946429062,26122.81919669162,0.021812428821191242,0.024906375071666882,11557.327007216467,14565.492189475153,28893.317518041164,-47.716606256741215,,,,,exploratory_completion_requested_after_initial_test_review
visit,s_learner,0.5,0.5000001788429504,1397875.0,1190297.0,207578.0,0.09477466548264844,0.07521028239986896,0.019564383082779482,27348.562001840368,0.018313764684640986,0.02081500148091798,14446.658759020582,12901.903242819786,28893.317518041164,-279.0926163392287,,,,,exploratory_completion_requested_after_initial_test_review
visit,s_learner,0.75,0.7500000894214752,2096812.0,1782819.0,313993.0,0.06401603303532215,0.050259082208839054,0.013756950826483094,28845.73957637967,0.012912508324985692,0.014601393327980496,21669.988138530873,7175.751437848798,28893.317518041164,119.0767441695607,,,,,exploratory_completion_requested_after_initial_test_review
visit,s_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.05,0.050000196727245545,139788.0,122435.0,17353.0,0.37338996202066405,0.2841007318619259,0.08928923015873813,12481.562905429686,0.08205285611935452,0.09652560419812174,1444.6658759020584,11036.897029527627,28893.317518041164,4552.345560386074,,,,,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.1,0.1000000357685901,279575.0,241902.0,37673.0,0.2884763251233971,0.2273776975552783,0.06109862756811879,17081.648802356813,0.05649720760607592,0.06570004753016166,2889.3317518041167,14192.317050552696,28893.317518041164,2967.942517110034,15603.851611724778,18307.77387278257,1718.9543275425003,3956.1100315020844,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.2,0.2000000715371802,559150.0,479274.0,79876.0,0.18213798370034678,0.14238319395062346,0.039754789749723324,22228.890688557796,0.03709648420824248,0.04241309529120417,5778.663503608233,16450.227184949563,28893.317518041164,586.5206270720446,20810.305601179993,24007.531556538055,-277.2980644974149,1428.2341224435092,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.3,0.3000001073057703,838725.0,716500.0,122225.0,0.12907466852756455,0.09946410308856617,0.029610565438998385,24835.12149782392,0.027761818847662385,0.031459312030334384,8667.995255412348,16167.12624241157,28893.317518041164,590.4542384595734,23303.827133977138,26780.931971137226,-214.28615370256318,1594.0625317433964,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.4,0.4000001430743604,1118300.0,953149.0,165151.0,0.09903488331834792,0.07548243728466676,0.02355244603368116,26338.70039946564,0.02214431789344228,0.02496057417392004,11557.327007216467,14781.373392249174,28893.317518041164,168.16459651727928,,,,,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.5,0.5000001788429504,1397875.0,1190573.0,207302.0,0.08003877124712218,0.060703707634272706,0.019335063612849472,27028.002047811955,0.01819744333562995,0.020472683890068993,14446.658759020582,12581.343288791373,28893.317518041164,-599.6525703676416,,,,,exploratory_completion_requested_after_initial_test_review
visit,t_learner,0.75,0.7500000894214752,2096812.0,1783807.0,313005.0,0.05399519118379959,0.04071180971549975,0.01328338146829984,27852.753663308726,0.012515716999857256,0.014051045936742425,21669.988138530873,6182.765524777853,28893.317518041164,-873.909168901384,,,,,exploratory_completion_requested_after_initial_test_review
visit,t_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,x_learner,0.05,0.050000196727245545,139788.0,122726.0,17062.0,0.361716343725046,0.2656195053334896,0.09609683839155642,13433.184845078888,0.08894525060104792,0.10324842618206491,1444.6658759020584,11988.518969176828,28893.317518041164,5503.967500035275,,,,,exploratory_completion_requested_after_initial_test_review
