outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain,gain_above_response,incremental_gain_ci_lower,incremental_gain_ci_upper,gain_above_response_ci_lower,gain_above_response_ci_upper,analysis_status
conversion,s_learner,0.05,0.050000196727245545,139788.0,121665.0,18123.0,0.04882258661077549,0.035534955581305525,0.013287631029469962,1857.451366347547,0.010332836574585974,0.01624242548435395,164.82219377614612,1692.6291725714009,3296.443875522922,-114.0651453242508,,,,,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,0.1,0.1000000357685901,279575.0,241516.0,38059.0,0.026983719505125955,0.018576420820305316,0.008407298684820638,2350.47052980873,0.006904708029510554,0.009909889340130724,329.64438755229224,2020.8261422564378,3296.443875522922,-88.55794631179106,1957.0087195140363,2793.9872190880897,-143.92930606406514,-28.826808848819525,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,0.2,0.2000000715371802,559150.0,478881.0,80269.0,0.014588175350452409,0.009567828177752308,0.0050203471727001,2807.1271216152613,0.004266142325366945,0.005774552020033256,659.2887751045845,2147.8383465106767,3296.443875522922,-14.516727860604078,2365.587396265729,3274.850168150879,-57.780875514413616,22.235438757089632,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,0.3,0.3000001073057703,838725.0,716277.0,122448.0,0.010004509428614907,0.006394551156409251,0.0036099582722056564,3027.762251855689,0.003107517829970494,0.004112398714440819,988.9331626568766,2038.8290891988127,3296.443875522922,4.341020975480205,2590.7413810038265,3522.090997915272,-14.159295587590112,23.610544282212715,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,0.4,0.4000001430743604,1118300.0,952941.0,165359.0,0.0075870384420441556,0.004777484140566888,0.0028095543014772673,3141.924575342028,0.0024343101911826004,0.0031847984117719342,1318.577550209169,1823.3470251328592,3296.443875522922,-4.676144690950878,,,,,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,0.5,0.5000001788429504,1397875.0,1189895.0,207980.0,0.006115665667979107,0.003808058467160304,0.002307607200818803,3225.7464158445846,0.0020081221048102367,0.0026070922968273696,1648.221937761461,1577.5244780831235,3296.443875522922,8.887278651829092,,,,,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,0.75,0.7500000894214752,2096812.0,1782903.0,313909.0,0.004117442171559529,0.002545323644750549,0.0015721185268089805,3296.436992435392,0.001372358559138647,0.001771878494479314,2472.3329066421916,824.1040857932003,3296.443875522922,13.864058068152644,,,,,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.003104104259527858,0.0019250127618565998,0.001179091497671258,3296.443875522922,0.0010287331471794628,0.0013294498481630534,3296.443875522922,0.0,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,0.05,0.050000196727245545,139788.0,121801.0,17987.0,0.04484363839377345,0.032579084894646136,0.012264553499127313,1714.437404536009,0.009421653344361144,0.015107453653893483,164.82219377614612,1549.6152107598627,3296.443875522922,-257.07910713578895,,,,,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,0.1,0.1000000357685901,279575.0,241632.0,37943.0,0.02492219573566415,0.01702553830746119,0.007896657428202957,2207.7080004898417,0.006454192400551685,0.00933912245585423,329.64438755229224,1878.0636129375494,3296.443875522922,-231.32047563067954,1827.7124090694106,2587.651977448571,-360.35324118864827,-75.49828869398763,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,0.2,0.2000000715371802,559150.0,479035.0,80115.0,0.01351467011804983,0.00874992198714348,0.004764748130906349,2664.208917396285,0.00404170366597547,0.0054877925958372285,659.2887751045845,2004.9201422917004,3296.443875522922,-157.43493207958045,2221.8103715499783,3081.444431687065,-281.3433545749378,-18.039024884682618,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,0.3,0.3000001073057703,838725.0,715951.0,122774.0,0.009275774459425295,0.005872578884780165,0.0034031955746451304,2854.345208344237,0.002921557666904156,0.003884833482386105,988.9331626568766,1865.4120456873607,3296.443875522922,-169.0760225359718,2391.0873603763143,3281.690810215528,-299.57300815520193,-38.393197811814346,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,0.4,0.4000001430743604,1118300.0,952928.0,165372.0,0.007012072265690587,0.004384055341895847,0.00262801692379474,2938.9113258796574,0.002268210599703361,0.002987823247886119,1318.577550209169,1620.3337756704884,3296.443875522922,-207.6893941533217,,,,,exploratory_completion_requested_after_initial_test_review
