outcome_name,feature,requested_bins,actual_bins,train_ate,validation_auuc,validation_qini
conversion,f8,8,5,0.0011396703961252719,2838.702916820018,1215.9740329990213
conversion,f8,5,4,0.0011396703961252719,2772.10638740379,1149.3775035827935
conversion,f9,8,3,0.0011396703961252719,2768.249514333236,1145.5206305122397
conversion,f9,5,3,0.0011396703961252719,2722.726908677393,1099.9980248563966
conversion,f3,8,3,0.0011396703961252719,2699.3904389610843,1076.6615551400878
conversion,f3,2,2,0.0011396703961252719,2653.5685045481905,1030.839620727194
conversion,f3,3,2,0.0011396703961252719,2653.5685045481905,1030.839620727194
conversion,f3,5,2,0.0011396703961252719,2653.5685045481905,1030.839620727194
conversion,f8,3,3,0.0011396703961252719,2641.699806323777,1018.9709225027805
conversion,f6,8,7,0.0011396703961252719,2627.5284023218537,1004.7995185008572
conversion,f6,5,5,0.0011396703961252719,2551.555489994174,928.8266061731774
conversion,f8,2,2,0.0011396703961252719,2416.576079932366,793.8471961113696
conversion,f6,3,3,0.0011396703961252719,2413.0782359118994,790.3493520909028
conversion,f0,5,5,0.0011396703961252719,2373.824219445828,751.0953356248315
conversion,f0,8,7,0.0011396703961252719,2357.8797371435644,735.1508533225679
conversion,f0,2,2,0.0011396703961252719,2348.5517888318554,725.8229050108589
conversion,f11,2,2,0.0011396703961252719,2281.67041845753,658.9415346365336
conversion,f11,3,2,0.0011396703961252719,2281.67041845753,658.9415346365336
conversion,f11,5,2,0.0011396703961252719,2281.67041845753,658.9415346365336
conversion,f11,8,2,0.0011396703961252719,2281.67041845753,658.9415346365336
conversion,f6,2,2,0.0011396703961252719,2258.4052163751417,635.6763325541451
conversion,f0,3,3,0.0011396703961252719,2203.202334819835,580.4734509988384
conversion,f5,2,2,0.0011396703961252719,2114.4860809626225,491.75719714162597
conversion,f5,3,2,0.0011396703961252719,2114.4860809626225,491.75719714162597
conversion,f5,5,2,0.0011396703961252719,2114.4860809626225,491.75719714162597
conversion,f5,8,2,0.0011396703961252719,2114.4860809626225,491.75719714162597
conversion,f2,5,4,0.0011396703961252719,1945.7935961877836,323.06471236678703
conversion,f2,8,5,0.0011396703961252719,1892.2584954795507,269.52961165855413
conversion,f2,3,3,0.0011396703961252719,1888.9840526366504,266.25516881565386
conversion,f1,2,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f1,3,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f1,5,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f1,8,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f10,2,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f10,3,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f10,5,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f10,8,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f2,2,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f4,2,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f4,3,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f4,5,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f4,8,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f7,2,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f7,3,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f7,5,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f7,8,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f9,2,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
conversion,f9,3,2,0.0011396703961252719,1604.4876144025607,-18.241269418435877
