outcome_name,model_name,reference_seed,comparison_seed,spearman_rank_correlation,top_fraction,top_set_overlap,reference_mean_uplift,comparison_mean_uplift,comparison_runtime_seconds
visit,s_learner,20260816,20260817,0.9784148879398434,0.1,0.9400099476495994,0.00727120554074645,0.007251453120261431,485.990513584009
visit,t_learner,20260816,20260817,0.8539162718565165,0.1,0.8848827930709969,0.007377719506621361,0.007373990956693888,485.990513584009
visit,x_learner,20260816,20260817,0.9777910124288081,0.1,0.9649112762691304,0.007379156071692705,0.007385662756860256,485.990513584009
