outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain
conversion,s_learner,0.05,0.050000196727245545,139788.0,121665.0,18123.0,0.04882258661077549,0.035534955581305525,0.013287631029469962,1857.451366347547,0.010332836574585974,0.01624242548435395,164.82219377614612,1692.6291725714009,3296.443875522922
conversion,s_learner,0.1,0.1000000357685901,279575.0,241516.0,38059.0,0.026983719505125955,0.018576420820305316,0.008407298684820638,2350.47052980873,0.006904708029510554,0.009909889340130724,329.64438755229224,2020.8261422564378,3296.443875522922
conversion,s_learner,0.15,0.15000023249583563,419363.0,360279.0,59084.0,0.01892977386969543,0.01259224155439713,0.006337532315298301,2657.7265643404417,0.0053343292825027,0.007340735348093903,494.4665813284383,2163.2599830120034,3296.443875522922
conversion,s_learner,0.2,0.2000000715371802,559150.0,478881.0,80269.0,0.014588175350452409,0.009567828177752308,0.0050203471727001,2807.1271216152613,0.004266142325366945,0.005774552020033256,659.2887751045845,2147.8383465106767,3296.443875522922
conversion,s_learner,0.25,0.25000026826442573,698938.0,597435.0,101503.0,0.011857356867274264,0.007664798084785671,0.004192558782488593,2930.3386503150123,0.003589902518796037,0.004795215046181149,824.1109688807305,2106.2276814342817,3296.443875522922
conversion,s_learner,0.3,0.3000001073057703,838725.0,716277.0,122448.0,0.010004509428614907,0.006394551156409251,0.0036099582722056564,3027.762251855689,0.003107517829970494,0.004112398714440819,988.9331626568766,2038.8290891988127,3296.443875522922
conversion,s_learner,0.35,0.35000030403301585,978513.0,834810.0,143703.0,0.008629508510918652,0.00546961441306027,0.003159894097858382,3091.997453377699,0.002730033105502685,0.003589755090214079,1153.7553564330226,1938.2420969446764,3296.443875522922
conversion,s_learner,0.4,0.4000001430743604,1118300.0,952941.0,165359.0,0.0075870384420441556,0.004777484140566888,0.0028095543014772673,3141.924575342028,0.0024343101911826004,0.0031847984117719342,1318.577550209169,1823.3470251328592,3296.443875522922
conversion,s_learner,0.45,0.4500003398016059,1258088.0,1071360.0,186728.0,0.006771766726403823,0.004241463519129429,0.002530303207274394,3183.344101433428,0.002197131023441255,0.002863475391107533,1483.399743985315,1699.9443574481131,3296.443875522922
conversion,s_learner,0.5,0.5000001788429504,1397875.0,1189895.0,207980.0,0.006115665667979107,0.003808058467160304,0.002307607200818803,3225.7464158445846,0.0020081221048102367,0.0026070922968273696,1648.221937761461,1577.5244780831235,3296.443875522922
conversion,s_learner,0.55,0.5500000178842951,1537662.0,1308389.0,229273.0,0.005577851846813142,0.003476205222594898,0.0021016466242182444,3231.6221514886743,0.0018290176746091054,0.002374275573827383,1813.0441315376072,1418.578019951067,3296.443875522922
conversion,s_learner,0.6,0.6000002146115406,1677450.0,1426863.0,250587.0,0.005128032614203326,0.0031845227406050594,0.0019435098735982662,3260.1406374674116,0.0016937142259273172,0.0021933055212692153,1977.8663253137531,1282.2743121536585,3296.443875522922
conversion,s_learner,0.65,0.6500000536528852,1817237.0,1545569.0,271668.0,0.004740648913118728,0.00294108985968167,0.0017995590534370582,3270.2252955907993,0.0015689243780526534,0.002030193728821463,2142.6885190898993,1127.5367765009,3296.443875522922
conversion,s_learner,0.7,0.7000002503801307,1957025.0,1664212.0,292813.0,0.004408092238248493,0.002728703985137272,0.0016793882531112208,3286.604796044987,0.001465306865043208,0.0018934696411792335,2307.510712866045,979.0940831789417,3296.443875522922
conversion,s_learner,0.75,0.7500000894214752,2096812.0,1782903.0,313909.0,0.004117442171559529,0.002545323644750549,0.0015721185268089805,3296.436992435392,0.001372358559138647,0.001771878494479314,2472.3329066421916,824.1040857932003,3296.443875522922
conversion,s_learner,0.8,0.8000002861487208,2236600.0,1901757.0,334843.0,0.0038622179384642727,0.002392165880726191,0.0014700520577380816,3287.918432336993,0.0012825696800893905,0.0016575344353867726,2637.155100418338,650.7633319186552,3296.443875522922
conversion,s_learner,0.85,0.8500001251900653,2376387.0,2020369.0,356018.0,0.003637454346211014,0.002252695088450584,0.00138475925776043,3290.723898271535,0.001208285602124574,0.0015612329133962858,2801.977294194484,488.74660407705096,3296.443875522922
conversion,s_learner,0.9,0.9000003219173109,2516175.0,2139049.0,377126.0,0.00343937890155859,0.0021319134718900314,0.0013074654296685584,3289.811827496285,0.0011406568053962422,0.0014742740539408746,2966.79948797063,323.0123395256551,3296.443875522922
conversion,s_learner,0.95,0.9500001609586555,2655962.0,2257848.0,398114.0,0.0032628414313098137,0.0020220338897903615,0.0012408075415194521,3295.537679589087,0.001082678910282055,0.0013989361727568493,3131.6216817467757,163.9159978423113,3296.443875522922
conversion,s_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.003104104259527858,0.0019250127618565998,0.001179091497671258,3296.443875522922,0.0010287331471794628,0.0013294498481630534,3296.443875522922,0.0,3296.443875522922
conversion,t_learner,0.05,0.050000196727245545,139788.0,121801.0,17987.0,0.04484363839377345,0.032579084894646136,0.012264553499127313,1714.437404536009,0.009421653344361144,0.015107453653893483,164.82219377614612,1549.6152107598627,3296.443875522922
conversion,t_learner,0.1,0.1000000357685901,279575.0,241632.0,37943.0,0.02492219573566415,0.01702553830746119,0.007896657428202957,2207.7080004898417,0.006454192400551685,0.00933912245585423,329.64438755229224,1878.0636129375494,3296.443875522922
conversion,t_learner,0.15,0.15000023249583563,419363.0,360573.0,58790.0,0.017497150368996014,0.011549583262459601,0.0059475671065364125,2494.1895844984297,0.004983665636591759,0.006911468576481066,494.4665813284383,1999.7230031699914,3296.443875522922
conversion,t_learner,0.2,0.2000000715371802,559150.0,479035.0,80115.0,0.01351467011804983,0.00874992198714348,0.004764748130906349,2664.208917396285,0.00404170366597547,0.0054877925958372285,659.2887751045845,2004.9201422917004,3296.443875522922
conversion,t_learner,0.25,0.25000026826442573,698938.0,597594.0,101344.0,0.011007473301271432,0.007035443637511841,0.003972029663759591,2776.202469128801,0.003393425522779213,0.004550633804739968,824.1109688807305,1952.0915002480706,3296.443875522922
conversion,t_learner,0.3,0.3000001073057703,838725.0,715951.0,122774.0,0.009275774459425295,0.005872578884780165,0.0034031955746451304,2854.345208344237,0.002921557666904156,0.003884833482386105,988.9331626568766,1865.4120456873607,3296.443875522922
conversion,t_learner,0.35,0.35000030403301585,978513.0,834494.0,144019.0,0.007990470872169243,0.005027114477950826,0.002963356394218417,2899.6827553758458,0.002551161692207125,0.0033755510962297087,1153.7553564330226,1745.9273989428232,3296.443875522922
conversion,t_learner,0.4,0.4000001430743604,1118300.0,952928.0,165372.0,0.007012072265690587,0.004384055341895847,0.00262801692379474,2938.9113258796574,0.002268210599703361,0.002987823247886119,1318.577550209169,1620.3337756704884,3296.443875522922
conversion,t_learner,0.45,0.4500003398016059,1258088.0,1071619.0,186469.0,0.006244756765230926,0.003888045734143477,0.002356711031087449,2964.9498676787466,0.002037285964544268,0.00267613609763063,1483.399743985315,1481.5501236934317,3296.443875522922
conversion,t_learner,0.5,0.5000001788429504,1397875.0,1190345.0,207530.0,0.005631980644266998,0.003498289403941599,0.0021336912403253994,2982.633642569868,0.001846287017165164,0.0024210954634856347,1648.221937761461,1334.4117048084067,3296.443875522922
conversion,t_learner,0.55,0.5500000178842951,1537662.0,1308953.0,228709.0,0.005126234479007267,0.0031787118128276544,0.001947522666179613,2994.631597923076,0.0016863944789823442,0.0022086508533768817,1813.0441315376072,1181.5874663854686,3296.443875522922
