outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain
visit,s_learner,0.05,0.050000196727245545,139788.0,122614.0,17174.0,0.3685549774087788,0.2732036799813672,0.09535129742741161,13328.967164783015,0.08816064138995444,0.10254195346486877,1444.6658759020584,11884.301288880957,28893.317518041164
visit,s_learner,0.1,0.1000000357685901,279575.0,242346.0,37229.0,0.2912282439157238,0.22713476053614118,0.0640934833795826,17918.935615846804,0.05946904895594797,0.06871791780321722,2889.3317518041167,15029.603864042687,28893.317518041164
visit,s_learner,0.15,0.15000023249583563,419363.0,361039.0,58324.0,0.24434756355961545,0.19633427062615733,0.04801329293345813,20134.998564453803,0.04449802610464032,0.05152855976227594,4333.997627706174,15801.000936747629,28893.317518041164
visit,s_learner,0.2,0.2000000715371802,559150.0,479604.0,79546.0,0.2069415601204327,0.1672239961783119,0.03971756394212078,22208.075878236836,0.03688212597337988,0.042553001910861685,5778.663503608233,16429.412374628602,28893.317518041164
visit,s_learner,0.25,0.25000026826442573,698938.0,598200.0,100738.0,0.17607823470411232,0.14255792253171592,0.0335203121723964,23428.619949150394,0.031155393727703456,0.03588523061708934,7223.329379510291,16205.290569640103,28893.317518041164
visit,s_learner,0.3,0.3000001073057703,838725.0,716514.0,122211.0,0.1514638932386527,0.12193665054700477,0.02952724269164793,24765.23662655241,0.027513658216972423,0.031540827166323435,8667.995255412348,16097.241371140062,28893.317518041164
visit,s_learner,0.35,0.35000030403301585,978513.0,835157.0,143356.0,0.1323056622886475,0.10626691592957392,0.026038746359073592,25479.251816056178,0.024285737907876314,0.02779175481027087,10112.661131314406,15366.590684741772,28893.317518041164
visit,s_learner,0.4,0.4000001430743604,1118300.0,953612.0,164688.0,0.11687562656510195,0.09351622461867289,0.023359401946429062,26122.81919669162,0.021812428821191242,0.024906375071666882,11557.327007216467,14565.492189475153,28893.317518041164
visit,s_learner,0.45,0.4500003398016059,1258088.0,1071902.0,186186.0,0.10471666253071643,0.08335213173922851,0.021364530791487923,26878.45981440146,0.0199816388030951,0.022747422779880747,13001.992883118524,13876.466931282936,28893.317518041164
visit,s_learner,0.5,0.5000001788429504,1397875.0,1190297.0,207578.0,0.09477466548264844,0.07521028239986896,0.019564383082779482,27348.562001840368,0.018313764684640986,0.02081500148091798,14446.658759020582,12901.903242819786,28893.317518041164
visit,s_learner,0.55,0.5500000178842951,1537662.0,1308440.0,229222.0,0.08656338846259667,0.06835295041488164,0.018210438047715036,28001.498589325598,0.017070547943726422,0.01935032815170365,15891.324634922641,12110.173954402957,28893.317518041164
visit,s_learner,0.6,0.6000002146115406,1677450.0,1427262.0,250188.0,0.0795698337095782,0.06276080387548563,0.016809029834092562,28196.30709519857,0.015760083357578003,0.01785797631060712,17335.990510824697,10860.316584373872,28893.317518041164
visit,s_learner,0.65,0.6500000536528852,1817237.0,1545829.0,271408.0,0.07360710660752257,0.05796807758061664,0.015639029026905928,28419.822191767445,0.014668275908085478,0.01660978214572638,18780.656386726758,9639.165805040688,28893.317518041164
visit,s_learner,0.7,0.7000002503801307,1957025.0,1664393.0,292632.0,0.06849464038841788,0.05385945487848219,0.014635185509935686,28641.423922581886,0.013731744010899235,0.015538627008972137,20225.32226262881,8416.101659953074,28893.317518041164
visit,s_learner,0.75,0.7500000894214752,2096812.0,1782819.0,313993.0,0.06401603303532215,0.050259082208839054,0.013756950826483094,28845.73957637967,0.012912508324985692,0.014601393327980496,21669.988138530873,7175.751437848798,28893.317518041164
visit,s_learner,0.8,0.8000002861487208,2236600.0,1901822.0,334778.0,0.06007291954767586,0.047171558465610046,0.012901361082065813,28855.184196148395,0.012107764799239156,0.01369495736489247,23114.654014432934,5740.530181715461,28893.317518041164
visit,s_learner,0.85,0.8500001251900653,2376387.0,2020496.0,355891.0,0.05658610558991455,0.04441809430415492,0.01216801128575963,28915.903835332472,0.011419916639445315,0.012916105932073946,24559.319890334988,4356.583944997485,28893.317518041164
visit,s_learner,0.9,0.9000003219173109,2516175.0,2139253.0,376922.0,0.05347333859062019,0.04195563007731042,0.011517708513309764,28980.570218477194,0.01081021668969574,0.012225200336923788,26003.98576623705,2976.5844522401458,28893.317518041164
visit,s_learner,0.95,0.9500001609586555,2655962.0,2258014.0,397948.0,0.05068701965532543,0.039758963482666075,0.010928056172659358,29024.50192844869,0.010256936802101808,0.011599175543216907,27448.651642139102,1575.8502863095891,28893.317518041164
visit,s_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164
visit,t_learner,0.05,0.050000196727245545,139788.0,122435.0,17353.0,0.37338996202066405,0.2841007318619259,0.08928923015873813,12481.562905429686,0.08205285611935452,0.09652560419812174,1444.6658759020584,11036.897029527627,28893.317518041164
visit,t_learner,0.1,0.1000000357685901,279575.0,241902.0,37673.0,0.2884763251233971,0.2273776975552783,0.06109862756811879,17081.648802356813,0.05649720760607592,0.06570004753016166,2889.3317518041167,14192.317050552696,28893.317518041164
visit,t_learner,0.15,0.15000023249583563,419363.0,360727.0,58636.0,0.22530889010248747,0.17733133228733203,0.04797755781515545,20120.012578037033,0.04459876806668929,0.051356347563621604,4333.997627706174,15786.014950330858,28893.317518041164
visit,t_learner,0.2,0.2000000715371802,559150.0,479274.0,79876.0,0.18213798370034678,0.14238319395062346,0.039754789749723324,22228.890688557796,0.03709648420824248,0.04241309529120417,5778.663503608233,16450.227184949563,28893.317518041164
visit,t_learner,0.25,0.25000026826442573,698938.0,597934.0,101004.0,0.15160201627604383,0.11743099283196705,0.034171023444076784,23883.42678395614,0.0319874328112637,0.03635461407688987,7223.329379510291,16660.09740444585,28893.317518041164
visit,t_learner,0.3,0.3000001073057703,838725.0,716500.0,122225.0,0.12907466852756455,0.09946410308856617,0.029610565438998385,24835.12149782392,0.027761818847662385,0.031459312030334384,8667.995255412348,16167.12624241157,28893.317518041164
visit,t_learner,0.35,0.35000030403301585,978513.0,834882.0,143631.0,0.11202301642627341,0.08589371375260216,0.02612930267367125,25567.862347122078,0.024530041853669974,0.027728563493672528,10112.661131314406,15455.201215807672,28893.317518041164
visit,t_learner,0.4,0.4000001430743604,1118300.0,953149.0,165151.0,0.09903488331834792,0.07548243728466676,0.02355244603368116,26338.70039946564,0.02214431789344228,0.02496057417392004,11557.327007216467,14781.373392249174,28893.317518041164
visit,t_learner,0.45,0.4500003398016059,1258088.0,1071758.0,186330.0,0.0885619701462457,0.06728385123168572,0.021278118914559982,26769.746068980938,0.020019891363596075,0.02253634646552389,13001.992883118524,13767.753185862413,28893.317518041164
visit,t_learner,0.5,0.5000001788429504,1397875.0,1190573.0,207302.0,0.08003877124712218,0.060703707634272706,0.019335063612849472,27028.002047811955,0.01819744333562995,0.020472683890068993,14446.658759020582,12581.343288791373,28893.317518041164
visit,t_learner,0.55,0.5500000178842951,1537662.0,1309240.0,228422.0,0.07303779291802878,0.0553317981630491,0.017705994754979686,27225.835306931574,0.016667873098960242,0.01874411641099913,15891.324634922641,11334.510672008933,28893.317518041164
visit,t_learner,0.6,0.6000002146115406,1677450.0,1427807.0,249643.0,0.06711061088788611,0.05073645165296043,0.016374159234925682,27466.833408626087,0.015420454455527506,0.01732786401432386,17335.990510824697,10130.84289780139,28893.317518041164
visit,t_learner,0.65,0.6500000536528852,1817237.0,1546353.0,270884.0,0.06210418966432632,0.046861387162032454,0.015242802502293866,27699.784690860997,0.01436069883451364,0.01612490617007409,18780.656386726758,8919.12830413424,28893.317518041164
visit,t_learner,0.7,0.7000002503801307,1957025.0,1665098.0,291927.0,0.057773176113357895,0.04358966453942253,0.014183511573935367,27757.486737980864,0.013362428514976848,0.015004594632893886,20225.32226262881,7532.164475352052,28893.317518041164
visit,t_learner,0.75,0.7500000894214752,2096812.0,1783807.0,313005.0,0.05399519118379959,0.04071180971549975,0.01328338146829984,27852.753663308726,0.012515716999857256,0.014051045936742425,21669.988138530873,6182.765524777853,28893.317518041164
visit,t_learner,0.8,0.8000002861487208,2236600.0,1902550.0,334050.0,0.05070352947360122,0.03822781020805269,0.01247571926554853,27903.193709325846,0.011754618347706683,0.013196820183390379,23114.654014432934,4788.539694892912,28893.317518041164
visit,t_learner,0.85,0.8500001251900653,2376387.0,2021124.0,355263.0,0.047817946845418687,0.03603527527493716,0.011782671570481525,28000.187545361878,0.011102857067171339,0.01246248607379171,24559.319890334988,3440.86765502689,28893.317518041164
visit,t_learner,0.9,0.9000003219173109,2516175.0,2139789.0,376386.0,0.04526193937813495,0.034116571817230185,0.011145367560904763,28043.69522255954,0.010502017873131465,0.011788717248678061,26003.98576623705,2039.7094563224928,28893.317518041164
visit,t_learner,0.95,0.9500001609586555,2655962.0,2258127.0,397835.0,0.04363704964335487,0.032923196802694586,0.01071385284066028,28455.58601838576,0.010098684798910592,0.011329020882409968,27448.651642139102,1006.934376246656,28893.317518041164
visit,t_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164
visit,x_learner,0.05,0.050000196727245545,139788.0,122726.0,17062.0,0.361716343725046,0.2656195053334896,0.09609683839155642,13433.184845078888,0.08894525060104792,0.10324842618206491,1444.6658759020584,11988.518969176828,28893.317518041164
visit,x_learner,0.1,0.1000000357685901,279575.0,242348.0,37227.0,0.28973624704969714,0.2267708920944476,0.06296535495524955,17603.539111613893,0.05834410779849168,0.06758660211200741,2889.3317518041167,14714.207359809776,28893.317518041164
visit,x_learner,0.15,0.15000023249583563,419363.0,361005.0,58358.0,0.23801609395991746,0.18950272456218514,0.04851336939773232,20344.71213074122,0.045043474251473384,0.051983264543991256,4333.997627706174,16010.714503035046,28893.317518041164
visit,x_learner,0.2,0.2000000715371802,559150.0,479609.0,79541.0,0.19923938041196057,0.1596032234948014,0.03963615691715916,22162.557140229543,0.03685124678270896,0.04242106705160936,5778.663503608233,16383.89363662131,28893.317518041164
visit,x_learner,0.25,0.25000026826442573,698938.0,598235.0,100703.0,0.1674208296070942,0.13342204303744676,0.03399878656964744,23763.043887416246,0.03169540062090403,0.03630217251839086,7223.329379510291,16539.714507905956,28893.317518041164
visit,x_learner,0.3,0.3000001073057703,838725.0,716697.0,122028.0,0.14379437893558925,0.11400662143114695,0.02978775750444229,24983.736912913362,0.0278282460990696,0.03174726890981498,8667.995255412348,16315.741657501014,28893.317518041164
