outcome,measure,analytical_ci_lower,analytical_ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_interval_width,undefined_replicates,analytical_interval_width,lower_endpoint_difference_ratio,upper_endpoint_difference_ratio,width_difference_ratio,agreement_pass
visit,absolute_lift,0.010055622944060531,0.010629183314336037,0.010054108006884931,0.010626599783812056,0.0005724917769271247,0,0.0005735603702755054,0.002641286347717258,0.004504374182512149,0.0018630878347948912,True
visit,relative_lift,0.2615660064699976,0.2799741695782647,0.2615463830628768,0.27993731722511345,0.01839093416223664,0,0.018408163108267095,0.0010660165821755904,0.0020019571173134462,0.0009359405351378557,True
conversion,absolute_lift,0.0010845045523244809,0.0012192415519387749,0.0010843796647229886,0.0012190866187650011,0.00013470695404201255,0,0.000134736999614294,0.000926899083769245,0.0011498933048626158,0.00022299422109337087,True
conversion,relative_lift,0.5436966599472159,0.6469507407329504,0.5439574977536381,0.6476003780098359,0.10364288025619783,0,0.1032540807857345,0.002526174311342106,0.0062916377923462035,0.003765463481004098,True
