outcome,control_n,treatment_n,control_positive,treatment_positive,control_rate,treatment_rate,absolute_lift,absolute_ci_lower,absolute_ci_upper,absolute_bootstrap_ci_lower,absolute_bootstrap_ci_upper,relative_lift,relative_ci_lower,relative_ci_upper,relative_bootstrap_ci_lower,relative_bootstrap_ci_upper,incremental_treated,incremental_all,z_statistic,raw_p_value,raw_log10_p_value,raw_p_value_display,holm_adjusted_p_value,holm_p_value_display,reject_at_0_05
visit,2096937,11882655,80105,576824,0.03820095691954503,0.048543360048743316,0.010342403129198284,0.010055622944060531,0.010629183314336037,0.010054108006884931,0.010626599783812056,0.27073675539019615,0.2615660064699976,0.2799741695782647,0.2615463830628768,0.27993731722511345,122895.20825518364,144582.5760457153,65.24742956249247,0.0,-926.3578364628198,<1e-926,0.0,<1e-926,True
conversion,2096937,11882655,4063,36711,0.0019375880152813366,0.0030894610674129645,0.0011518730521316279,0.0010845045523244809,0.0012192415519387749,0.0010843796647229886,0.0012190866187650011,0.594488117725262,0.5436966599472159,0.6469507407329504,0.5439574977536381,0.6476003780098359,13687.310082277148,16102.715304594889,28.516529408977203,7.308263285838994e-179,-178.13618581524295,7.308e-179,7.308263285838994e-179,7.308e-179,True
