outcome_name,model_name,auuc,qini,endpoint_gain
visit,s_learner,24997.076847034667,10550.418088014085,28893.317518041164
visit,t_learner,24559.349459095196,10112.690700074614,28893.317518041164
visit,x_learner,25098.58582601026,10651.92706698968,28893.317518041164
visit,response_propensity,24352.538001937013,9905.879242916431,28893.317518041164
visit,constant_ate,14447.017112748303,0.35835372772089613,28893.317518041164
visit,segment_uplift,23864.615070971267,9417.956311950686,28893.317518041164
visit,random_uniform,14446.658759020582,0.0,28893.317518041164
