outcome_name,model_name,score_group,group_rows,mean_predicted_score,observed_uplift,calibrated_predicted_uplift
visit,s_learner,1,279575,0.05861400757302413,0.0640934833795826,0.06366971040768646
visit,s_learner,2,279575,0.008677506980394689,0.006330723088724066,0.009022057578480198
visit,s_learner,3,279575,0.0027648731710722876,0.0016526442544027645,0.0025516089911042407
visit,s_learner,4,279575,0.0010678604953459044,0.0006017899487027623,0.0006944952877153866
visit,s_learner,5,279575,0.0006074851237927929,0.0008095719892734412,0.00019068678737636563
visit,s_learner,6,279575,0.00039270491819689006,0.0010823843587669784,-4.435639688158056e-05
visit,s_learner,7,279575,0.00024159849677382294,0.00044436215915572247,-0.00020971863012165506
visit,s_learner,8,279575,0.0001326949057025975,0.00030056084618702026,-0.0003288964973347329
visit,s_learner,9,279575,8.498170787754536e-05,8.868399945996216e-05,-0.00038111109465674745
visit,s_learner,10,279574,1.4742089424749975e-06,-0.0007122253781549548,-0.0004724969297929925
visit,t_learner,1,279575,0.06503324261325438,0.06109862756811879,0.060202083701542224
visit,t_learner,2,279575,0.009184334822174628,0.007258425270059279,0.009466591816298732
visit,t_learner,3,279575,0.0023406795809340413,0.003356607121890294,0.0032495281584697146
visit,t_learner,4,279575,0.0009014078830247228,0.0008852675076148307,0.0019420333400732475
visit,t_learner,5,279575,0.00047983440702761425,0.0009785919940431416,0.0015590583005165844
visit,t_learner,6,279575,0.00029105855525064615,0.00029320872999519633,0.001387566393606096
visit,t_learner,7,279575,0.00018299067526807814,0.0001934396980294668,0.0012893929956871706
visit,t_learner,8,279575,0.00011478996390859829,6.034917993278364e-05,0.0012274366070198996
visit,t_learner,9,279575,2.4351620331743378e-05,-5.422366979624185e-05,0.0011452786199054005
visit,t_learner,10,279574,-0.004914648635371761,0.004057186489006395,-0.00334151650833315
visit,x_learner,1,279575,0.05949439166437361,0.06296535495524955,0.06261480179398589
visit,x_learner,2,279575,0.008732282101195584,0.0062917442477914,0.00890566386924627
visit,x_learner,3,279575,0.0026204373726164396,0.0029897678990567396,0.0024389918903503097
visit,x_learner,4,279575,0.0012629689081376037,0.0005370803446520973,0.001002714682516046
visit,x_learner,5,279575,0.0006704959692656251,0.0008027980300331734,0.00037584532928425126
visit,x_learner,6,279575,0.000491630587531581,0.0007404098524770382,0.0001865957976910347
visit,x_learner,7,279575,0.00043500393989698223,0.0005747121589027089,0.0001266816519986254
visit,x_learner,8,279575,0.0003273483699496169,0.0006885452525131968,1.2776065638524117e-05
visit,x_learner,9,279575,0.00017971820489037782,9.232698323039608e-05,-0.00014342486779885165
visit,x_learner,10,279574,-0.0006004326238414074,-0.0011309619676088505,-0.0009688678768271801
