outcome_name,model_name,metric,estimate,ci_lower,ci_upper,bootstrap_replicates
conversion,segment_uplift,gain_at_20pct_minus_response,29.674230997721224,-85.24868352131276,154.3184163479679,200
conversion,segment_uplift,gain_at_30pct,3010.315035170674,2549.543912222967,3471.6176820209184,200
conversion,segment_uplift,gain_at_30pct_minus_response,-13.106195709534859,-73.78468853265443,53.76227700277879,200
conversion,segment_uplift,qini,1244.729336402459,1059.6399485740135,1439.8799450476831,200
conversion,segment_uplift,qini_minus_response,-88.5925807047397,-123.07208794663,-52.891197173265205,200
conversion,t_learner,auuc,2777.569960364583,2371.9642372166904,3187.7430258952895,200
conversion,t_learner,auuc_minus_response,-203.97389450407672,-313.67222041478203,-70.54259875719457,200
conversion,t_learner,auuc_minus_s_learner,-193.98667357356953,-305.81674482798513,-70.24775874169346,200
conversion,t_learner,gain_at_10pct,2207.7080004898417,1827.7124090694106,2587.651977448571,200
conversion,t_learner,gain_at_10pct_minus_response,-231.32047563067954,-360.35324118864827,-75.49828869398763,200
conversion,t_learner,gain_at_20pct,2664.208917396285,2221.8103715499783,3081.444431687065,200
conversion,t_learner,gain_at_20pct_minus_response,-157.43493207958045,-281.3433545749378,-18.039024884682618,200
conversion,t_learner,gain_at_30pct,2854.345208344237,2391.0873603763143,3281.690810215528,200
conversion,t_learner,gain_at_30pct_minus_response,-169.0760225359718,-299.57300815520193,-38.393197811814346,200
conversion,t_learner,qini,1129.348022603122,918.6437950645743,1336.522466738678,200
conversion,t_learner,qini_minus_response,-203.97389450407672,-313.67222041478203,-70.54259875719457,200
conversion,t_learner,qini_minus_s_learner,-193.98667357356953,-305.81674482798513,-70.24775874169346,200
conversion,x_learner,auuc,2858.9286740759044,2452.5320020908307,3325.1842782588296,200
conversion,x_learner,auuc_minus_response,-122.61518079275538,-167.9048846298878,-62.05549503176418,200
conversion,x_learner,auuc_minus_s_learner,-112.62795986224819,-158.8786473859638,-55.884967686556706,200
conversion,x_learner,auuc_minus_t_learner,81.35871371132134,-36.86906990685129,192.37716378403377,200
conversion,x_learner,gain_at_10pct,2283.690510061297,1877.8615519596196,2730.269139376528,200
conversion,x_learner,gain_at_10pct_minus_response,-155.33796605922407,-238.6553111688002,-49.606867952148484,200
conversion,x_learner,gain_at_20pct,2649.666463513429,2206.130163978343,3132.3041533312476,200
conversion,x_learner,gain_at_20pct_minus_response,-171.97738596243653,-249.52411395266782,-71.7283152943896,200
conversion,x_learner,gain_at_30pct,2856.5549085811417,2402.9149976031854,3331.8974446014886,200
conversion,x_learner,gain_at_30pct_minus_response,-166.86632229906718,-227.67467468830034,-100.64479854832959,200
conversion,x_learner,qini,1210.7067363144433,991.8662156472278,1432.220504507461,200
conversion,x_learner,qini_minus_response,-122.61518079275538,-167.9048846298878,-62.05549503176418,200
conversion,x_learner,qini_minus_s_learner,-112.62795986224819,-158.8786473859638,-55.884967686556706,200
conversion,x_learner,qini_minus_t_learner,81.35871371132134,-36.86906990685129,192.37716378403377,200
