outcome_name,model_name,complexity_rank,auuc,qini,qini_minus_response,qini_minus_response_ci_lower,qini_minus_response_ci_upper,mean_spearman_rank_correlation,minimum_spearman_rank_correlation,mean_top_set_overlap,minimum_top_set_overlap,analysis_status
visit,s_learner,1,24997.076847034667,10550.418088014085,644.5388450976534,412.9948513752101,855.5378815486588,0.9784148879398434,0.9784148879398434,0.9400099476495994,0.9400099476495994,exploratory_completion_requested_after_initial_test_review
visit,t_learner,2,24559.349459095196,10112.690700074614,206.81145715818275,-433.7677151194477,878.0946061444071,0.8539162718565165,0.8539162718565165,0.8848827930709969,0.8848827930709969,exploratory_completion_requested_after_initial_test_review
visit,x_learner,3,25098.58582601026,10651.92706698968,746.0478240732482,373.58235305711725,1075.3558664178404,0.977791012428808,0.977791012428808,0.9649112762691304,0.9649112762691304,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,1,2971.5566339381526,1323.3346961766915,-9.987220930507192,-18.13341906648603,-1.0970777506316265,0.9510277571471236,0.9510277571471236,0.9545449665966514,0.9545449665966514,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,2,2777.569960364583,1129.348022603122,-203.97389450407672,-313.67222041478203,-70.54259875719457,0.8758053931291793,0.8758053931291793,0.8954995831290725,0.8954995831290725,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,3,2858.9286740759044,1210.7067363144433,-122.61518079275538,-167.9048846298878,-62.05549503176418,0.9529515419022576,0.9529515419022576,0.9383245724836562,0.9383245724836562,exploratory_completion_requested_after_initial_test_review
