outcome_name,model_name,score_group,population_start_pct,population_end_pct,group_rows,treatment_rows,control_rows,treatment_rate,control_rate,observed_uplift,mean_predicted_score,incremental_outcomes,uplift_ci_lower,uplift_ci_upper
conversion,t_learner,1,0.0,10.0,279575,241632,37943,0.02492219573566415,0.01702553830746119,0.007896657428202957,0.009287607872015099,2207.7080004898417,0.006454192400551685,0.00933912245585423
conversion,t_learner,2,10.0,20.0,279575,237403,42172,0.0019039355020787436,0.0013041828701508109,0.0005997526319279328,0.0005885969285966594,167.6758420712518,0.00021323913218763876,0.0009862661316682269
conversion,t_learner,3,20.0,30.0,279575,236916,42659,0.000704891185061372,0.0004688342436531564,0.00023605694140821555,0.00015730756913687644,65.99561939420187,4.496453576389032e-06,0.0004676174292400421
conversion,t_learner,4,30.0,40.0,279575,236977,42598,0.00017301257084020811,9.390112211840932e-05,7.91114487217988e-05,5.350476868047378e-05,22.1175832763969,-2.7054638479308746e-05,0.00018527753592290634
conversion,t_learner,5,40.0,50.0,279575,237417,42158,9.266396256375912e-05,2.3720290336353717e-05,6.894367222740541e-05,3.8897342596483304e-05,19.274927162976866,8.441291534240755e-06,0.00012944605292057007
conversion,t_learner,6,50.0,60.0,279575,237389,42186,6.739992164759109e-05,2.3704546532024842e-05,4.369537511556625e-05,3.646030042965943e-05,12.216134497934434,-1.330538205549232e-05,0.00010069613228662482
conversion,t_learner,7,60.0,70.0,279575,237353,42222,0.00011796775267218026,9.47373407228459e-05,2.323041194933435e-05,3.2439908963037405e-05,6.494642420735151,-7.937391196458195e-05,0.00012583473586325067
conversion,t_learner,8,70.0,80.0,279575,237341,42234,0.00011376037010040405,0.0001183880286025477,-4.62765850214365e-06,2.8448673690045094e-05,-1.293777625736811,-0.00011691273784477846,0.00010765742084049116
conversion,t_learner,9,80.0,90.0,279575,237046,42529,0.00023202247665010168,9.40534693973524e-05,0.00013796900725274928,1.6778709200651277e-05,38.57268520268738,2.727204448578591e-05,0.0002486659700197127
conversion,t_learner,10,90.0,100.0,279574,237057,42517,0.002307461918441556,0.0015758402521344403,0.0007316216663071158,-0.0003687033187339267,204.5423957361456,0.00030799420126724616,0.0011552491313469855
conversion,x_learner,1,0.0,10.0,279575,241496,38079,0.02647248815715374,0.018304052102208566,0.008168436054945175,0.008782370246958762,2283.690510061297,0.006677568586392736,0.009659303523497613
conversion,x_learner,2,10.0,20.0,279575,237830,41745,0.0016566455030904428,0.0013175230566534915,0.0003391224464369513,0.0005521225167558645,94.81015796261066,-4.5319215025556596e-05,0.0007235641078994592
conversion,x_learner,3,20.0,30.0,279575,237110,42465,0.0007169668086542112,0.00044742729306487697,0.0002695395155893342,0.00023399658176662504,75.3565100708881,4.136343457277725e-05,0.0004977155966058911
conversion,x_learner,4,30.0,40.0,279575,236787,42788,0.0004434365062271155,0.00018696830887164625,0.00025646819735546925,0.00016997675744451145,71.70209627565531,0.0001016345241868965,0.000411301870524042
conversion,x_learner,5,40.0,50.0,279575,237080,42495,0.0002488611439176649,9.412872102600305e-05,0.00015473242289166186,8.786497515108707e-05,43.25931712993636,4.2752131491545395e-05,0.0002667127142917783
conversion,x_learner,6,50.0,60.0,279575,236383,43192,0.00013960394783042775,4.630487127245786e-05,9.329907655796989e-05,5.024237747394532e-05,26.084089328694432,1.3383430775854743e-05,0.00017321472234008503
conversion,x_learner,7,60.0,70.0,279575,237611,41964,5.471127178455543e-05,7.148984844152131e-05,-1.677857665696588e-05,4.657829964776127e-05,-4.690870568871236,-0.00010296621227745908,6.940905896352732e-05
conversion,x_learner,8,70.0,80.0,279575,237317,42258,0.00010955810161092547,0.0,0.00010955810161092547,4.624195412206819e-05,30.62970625787449,6.74484038983587e-05,0.00015166779932349224
conversion,x_learner,9,80.0,90.0,279575,237301,42274,3.371245801745462e-05,9.462080711548469e-05,-6.0908349098030066e-05,4.307375638745725e-05,-17.028451699081756,-0.00015652815922825232,3.471146103219219e-05
