outcome_name,point_qini_leader,recommended_uplift_model,simplicity_rule_applied,deployment_ranking,uplift_model_beats_response_at_95pct,recommended_target_fraction,selected_users,selected_group_uplift,estimated_incremental_outcomes,incremental_outcomes_ci_lower,incremental_outcomes_ci_upper,uplift_model_qini,qini_minus_response_ci_lower,qini_minus_response_ci_upper,mean_stability_rank_correlation,mean_stability_top_set_overlap,selection_rule,analysis_status
visit,x_learner,s_learner,True,s_learner,True,0.3,838725,0.02952724269164793,24765.23662655241,23315.2071914415,26510.166356002843,10550.418088014085,412.9948513752101,855.5378815486588,0.9784148879398434,0.9400099476495994,start from highest uplift-model Qini; choose the simplest learner not significantly worse in paired Qini; deploy uplift ranking only when its paired Qini-minus-response 95% CI is above zero; choose 10/20/30 rate with highest bootstrap lower bound for incremental outcomes,exploratory_completion_requested_after_initial_test_review
conversion,s_learner,s_learner,False,response_propensity,False,0.3,838725,0.003604782534060877,3023.421230880209,2579.0534991034137,3506.98381202604,1323.3346961766915,-18.13341906648603,-1.0970777506316265,0.9510277571471236,0.9545449665966514,start from highest uplift-model Qini; choose the simplest learner not significantly worse in paired Qini; deploy uplift ranking only when its paired Qini-minus-response 95% CI is above zero; choose 10/20/30 rate with highest bootstrap lower bound for incremental outcomes,exploratory_completion_requested_after_initial_test_review
